"adm_code","adm_name","adm_level","system","bana","barl","bean","cass","chic","cnut","coco","coff","cott","cowp","grou","lent","maiz","mill","ocer","ofib","oilp","ooil","opul","orts","pige","plnt","pota","rape","rest","rice","sesa","sorg","soyb","sugb","sugc","sunf","swpo","teas","temf","toba","trof","vege","whea","yams"
"AU3","Queensland",1,"H",0.275013830712084,0.927341076329284,0.930723884149244,0.930723884149244,0.930723884149244,1,0.930723884149244,0.930723884149244,0.261513844441352,1,0.930723884149244,0.930723884149244,0.927341076329284,0.927341076329284,0.927341076329284,1,0.930723884149244,0.930723884149244,0.930723884149244,0.930723884149244,0.930723884149244,1,0.0437624325092356,0.927341076329284,0.930723884149244,1,1,0.927341076329284,0.930723884149244,0.930723884149244,0.480910539751491,0.927341076329284,1,1,0.275013830712084,0.930723884149244,0.275013830712084,0.0437624325092356,0.927341076329284,1
"AU3","Queensland",1,"I",0.724986169287916,0.0726589236707158,0.0692761158507561,0.0692761158507561,0.0692761158507561,0,0.0692761158507561,0.0692761158507561,0.738486155558648,0,0.0692761158507561,0.0692761158507561,0.0726589236707158,0.0726589236707158,0.0726589236707158,0,0.0692761158507561,0.0692761158507561,0.0692761158507561,0.0692761158507561,0.0692761158507561,0,0.956237567490764,0.0726589236707158,0.0692761158507561,0,0,0.0726589236707158,0.0692761158507561,0.0692761158507561,0.519089460248509,0.0726589236707158,0,0,0.724986169287916,0.0692761158507561,0.724986169287916,0.956237567490764,0.0726589236707158,0
"AU4","South Australia",1,"S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU4","South Australia",1,"L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU4","South Australia",1,"H",0.0722751868075239,0.997833033815395,0.987874967380471,0.987874967380471,0.987874967380471,1,0.987874967380471,0.987874967380471,1,1,0.987874967380471,0.987874967380471,0.997833033815395,0.997833033815395,0.997833033815395,1,0.987874967380471,0.987874967380471,0.987874967380471,0.987874967380471,0.987874967380471,1,0.00749087649657465,0.997833033815395,0.987874967380471,1,1,0.997833033815395,0.987874967380471,0.987874967380471,1,0.997833033815395,1,1,0.0722751868075239,0.987874967380471,0.0722751868075239,0.00749087649657465,0.997833033815395,1
"AU4","South Australia",1,"I",0.927724813192476,0.00216696618460533,0.012125032619529,0.012125032619529,0.012125032619529,0,0.012125032619529,0.012125032619529,0,0,0.012125032619529,0.012125032619529,0.00216696618460533,0.00216696618460533,0.00216696618460533,0,0.012125032619529,0.012125032619529,0.012125032619529,0.012125032619529,0.012125032619529,0,0.992509123503425,0.00216696618460533,0.012125032619529,0,0,0.00216696618460533,0.012125032619529,0.012125032619529,0,0.00216696618460533,0,0,0.927724813192476,0.012125032619529,0.927724813192476,0.992509123503425,0.00216696618460533,0
"AU6","Tasmania",1,"S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU6","Tasmania",1,"L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU6","Tasmania",1,"H",0.21842048633527,0.748915486332514,0.496403390071932,0.496403390071932,0.496403390071932,1,0.496403390071932,0.496403390071932,1,1,0.496403390071932,0.496403390071932,0.748915486332514,0.748915486332514,0.748915486332514,1,0.496403390071932,0.496403390071932,0.496403390071932,0.496403390071932,0.496403390071932,1,0.0190344827586207,0.748915486332514,0.496403390071932,1,1,0.748915486332514,0.496403390071932,0.496403390071932,1,0.748915486332514,1,1,0.21842048633527,0.496403390071932,0.21842048633527,0.0190344827586207,0.748915486332514,1
"AU6","Tasmania",1,"I",0.78157951366473,0.251084513667486,0.503596609928068,0.503596609928068,0.503596609928068,0,0.503596609928068,0.503596609928068,0,0,0.503596609928068,0.503596609928068,0.251084513667486,0.251084513667486,0.251084513667486,0,0.503596609928068,0.503596609928068,0.503596609928068,0.503596609928068,0.503596609928068,0,0.980965517241379,0.251084513667486,0.503596609928068,0,0,0.251084513667486,0.503596609928068,0.503596609928068,0,0.251084513667486,0,0,0.78157951366473,0.503596609928068,0.78157951366473,0.980965517241379,0.251084513667486,0
"AU2","Victoria",1,"S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU2","Victoria",1,"L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU2","Victoria",1,"H",0.136862852190019,0.994534478940827,0.990133062298827,0.990133062298827,0.990133062298827,1,0.990133062298827,0.990133062298827,1,1,0.990133062298827,0.990133062298827,0.994534478940827,0.994534478940827,0.994534478940827,1,0.990133062298827,0.990133062298827,0.990133062298827,0.990133062298827,0.990133062298827,1,0.098608531299899,0.994534478940827,0.990133062298827,1,1,0.994534478940827,0.990133062298827,0.990133062298827,1,0.994534478940827,1,1,0.136862852190019,0.990133062298827,0.136862852190019,0.098608531299899,0.994534478940827,1
"AU2","Victoria",1,"I",0.863137147809981,0.00546552105917249,0.00986693770117315,0.00986693770117315,0.00986693770117315,0,0.00986693770117315,0.00986693770117315,0,0,0.00986693770117315,0.00986693770117315,0.00546552105917249,0.00546552105917249,0.00546552105917249,0,0.00986693770117315,0.00986693770117315,0.00986693770117315,0.00986693770117315,0.00986693770117315,0,0.901391468700101,0.00546552105917249,0.00986693770117315,0,0,0.00546552105917249,0.00986693770117315,0.00986693770117315,0,0.00546552105917249,0,0,0.863137147809981,0.00986693770117315,0.863137147809981,0.901391468700101,0.00546552105917249,0
"AU5","Western Australia",1,"S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU5","Western Australia",1,"L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU5","Western Australia",1,"H",0.204135626261923,0.99917901838694,1,1,1,1,1,1,1,1,1,1,0.99917901838694,0.99917901838694,0.99917901838694,1,1,1,1,1,1,1,0.0919064575113079,0.99917901838694,1,1,1,0.99917901838694,1,1,0,0.99917901838694,1,1,0.204135626261923,1,0.204135626261923,0.0919064575113079,0.99917901838694,1
"AU5","Western Australia",1,"I",0.795864373738077,0.000820981613059902,0,0,0,0,0,0,0,0,0,0,0.000820981613059902,0.000820981613059902,0.000820981613059902,0,0,0,0,0,0,0,0.908093542488692,0.000820981613059902,0,0,0,0.000820981613059902,0,0,1,0.000820981613059902,0,0,0.795864373738077,0,0.795864373738077,0.908093542488692,0.000820981613059902,0
